taskcommentstatematroshkaRevision,taskcommentstaterequestID,taskcommentstatewasLocallyCreated,taskcommentstateid,taskcommentstatelistID,taskcommentstatetask_id,taskcommentstatematroshkaRevision,taskcommentstatelast_read_id,taskcommentstatetype,taskcommentstateisTemporary,taskcommentstateunread_count
13,676FE659-2409-40FD-879F-D1FF4F10B264,false,undefined,346227712,3738288541,93801601,undefined,false,0
4,D1957D87-27A6-47E2-B7CF-EDB572A01F72,false,undefined,346227712,3909182674,98903029,undefined,false,0
32,A33F68CC-CF50-41CF-BD4D-069E9DD8631D,false,undefined,349537127,3932671171,99648545,undefined,false,0
2,1ED87F3D-6AD7-4199-893D-A2A72A09A931,false,undefined,344764377,3701777906,92824540,undefined,false,0
17,BE572003-138E-4DCA-ACAD-BEBF2989FC6F,false,undefined,344764377,3722219281,93374814,undefined,false,0
12,D9B01D19-FCDA-4954-9DB9-B627B03100DE,false,undefined,344764377,3737982627,93791933,undefined,false,0
97,E9F12083-3D95-4ED0-8DEB-72615BC39415,false,undefined,344764377,3850239259,100963762,undefined,false,0
10,501AD129-5F15-47D7-861F-BB2FE8D0DB02,false,undefined,349537113,3826656465,96438322,undefined,false,0
2,0B289144-B190-4DA5-89EA-0499EB4B8C75,false,undefined,349537235,3722112458,93370843,undefined,false,0
7,AB307D1C-D5FE-4355-B66D-5C96AD07FE87,false,undefined,359131839,3835786501,0,undefined,false,0
18,88D9923D-BF67-4B4B-8390-6C5E7EB4C0EE,false,undefined,359131839,3864454397,97561880,undefined,false,0
6,DA7541CC-10D4-4BB4-8513-5BCB64464240,false,undefined,359131839,3871691608,97839993,undefined,false,0
2,36C4EE05-C15A-484E-9B26-7F2B5EBA3320,false,undefined,359131839,3893024368,98480003,undefined,false,0
5,267DA312-BE1B-494B-B1B5-21BA8F1A8451,false,undefined,353047429,3912244623,99127282,undefined,false,0
